,zipcode,Restaurant_Count_2012,Restaurant_Count_2013,Restaurant_Count_2014,Restaurant_Count_2015,Restaurant_Count_2016
0,01001,35,36,36,37,33
1,01002,63,57,63,59,58
2,01004,1,3,1,1,2
3,01005,8,10,9,10,10
4,01007,15,17,17,18,18
5,01008,5,4,4,4,5
6,01009,1,1,1,1,1
7,01010,5,5,5,4,4
8,01013,28,31,29,26,29
9,01020,57,58,58,59,59
10,01027,33,35,40,41,36
11,01028,30,30,29,27,25
12,01029,1,1,1,1,1
13,01030,13,15,17,18,21
14,01031,3,3,3,3,3
15,01032,1,1,1,1,1
16,01033,6,5,8,6,6
17,01035,35,36,34,32,33
18,01036,6,6,7,8,9
19,01038,4,4,3,3,3
20,01039,4,2,2,3,3
21,01040,69,66,62,63,68
22,01041,1,1,2,3,3
23,01050,3,3,4,4,4
24,01056,30,28,29,29,27
25,01057,7,6,7,5,6
26,01060,79,78,81,79,78
27,01062,12,13,15,14,13
28,01066,1,1,1,1,1
29,01069,19,20,20,19,20
30,01071,2,2,1,1,1
31,01073,8,8,7,8,10
32,01074,2,2,2,2,2
33,01075,23,25,24,28,27
34,01077,21,20,22,22,24
35,01080,2,3,5,3,2
36,01081,1,1,1,1,1
37,01082,16,18,20,19,19
38,01083,2,2,2,2,1
39,01085,63,66,65,60,57
40,01088,1,2,2,2,3
41,01089,79,79,79,75,78
42,01092,3,4,4,3,3
43,01093,2,2,2,2,2
44,01095,15,16,14,19,21
45,01096,4,3,3,3,3
46,01098,2,2,1,1,1
47,01101,1,1,1,1,1
48,01102,2,2,2,2,2
49,01103,26,25,28,27,25
50,01104,29,28,29,31,34
51,01105,18,19,19,19,19
52,01106,15,16,18,20,17
53,01107,9,7,6,6,8
54,01108,27,28,26,29,24
55,01109,26,31,27,28,30
56,01115,4,4,4,4,4
57,01118,12,12,13,11,10
58,01119,17,22,21,21,21
59,01128,9,9,9,10,8
60,01129,21,19,17,19,19
61,01151,8,11,8,8,7
62,01201,113,113,116,109,114
63,01202,1,1,2,2,2
64,01220,15,16,16,15,16
65,01223,2,2,3,3,2
66,01225,4,6,5,4,5
67,01226,11,14,14,14,12
68,01230,39,38,38,40,38
69,01236,3,3,3,2,2
70,01237,15,15,15,13,13
71,01238,40,39,40,38,40
72,01240,30,33,32,34,29
73,01245,1,1,1,1,1
74,01247,33,32,34,37,41
75,01253,3,3,3,3,3
76,01255,4,2,3,3,3
77,01257,5,6,6,3,3
78,01258,3,3,3,3,3
79,01262,7,6,6,6,6
80,01266,7,6,5,5,5
81,01267,30,29,29,26,28
82,01301,44,43,44,43,45
83,01302,2,2,1,1,1
84,01330,3,3,3,4,3
85,01331,16,15,14,16,18
86,01337,4,4,4,4,6
87,01339,5,3,5,5,5
88,01342,1,1,2,2,2
89,01344,3,4,2,2,3
90,01351,2,2,2,3,2
91,01354,1,2,2,4,4
92,01360,2,4,4,3,3
93,01364,8,10,10,8,6
94,01366,2,2,2,1,1
95,01368,1,1,1,1,1
96,01370,11,12,12,11,9
97,01373,13,12,14,12,12
98,01375,7,7,6,6,7
99,01376,8,7,8,8,7
100,01378,2,2,2,2,2
101,01420,66,64,65,65,65
102,01430,3,3,3,4,5
103,01432,15,16,14,15,16
104,01434,2,2,2,3,3
105,01436,3,3,5,5,4
106,01438,2,2,2,2,2
107,01440,36,35,33,33,37
108,01450,10,10,11,11,12
109,01451,3,3,3,3,3
110,01452,4,2,3,2,1
111,01453,89,92,94,92,96
112,01460,9,10,10,10,12
113,01462,14,15,15,15,16
114,01463,11,9,11,12,12
115,01464,8,7,7,7,9
116,01468,2,1,2,2,3
117,01469,15,14,18,17,16
118,01473,10,11,10,11,10
119,01474,1,1,2,2,3
120,01475,17,17,17,18,18
121,01501,41,42,39,38,36
122,01503,3,3,2,2,4
123,01504,12,14,12,12,12
124,01505,6,6,5,6,6
125,01506,3,3,3,1,1
126,01507,8,7,7,6,8
127,01508,9,8,7,7,7
128,01509,1,1,1,1,1
129,01510,19,21,19,22,22
130,01515,8,8,7,7,7
131,01516,6,8,7,7,7
132,01518,11,11,12,11,12
133,01519,6,6,6,6,7
134,01520,22,22,21,23,23
135,01523,2,1,1,1,1
136,01524,10,9,9,9,9
137,01525,2,2,2,1,1
138,01527,28,29,27,26,30
139,01529,1,1,1,1,1
140,01531,1,1,1,1,1
141,01532,34,34,36,37,36
142,01534,2,1,1,5,6
143,01535,4,5,3,4,4
144,01536,14,13,12,10,9
145,01537,1,2,2,1,1
146,01538,5,4,4,5,4
147,01540,19,18,16,16,18
148,01541,5,5,5,5,4
149,01542,3,3,3,3,4
150,01543,9,9,10,10,9
151,01545,61,63,62,62,63
152,01550,24,26,27,26,24
153,01560,3,3,6,4,3
154,01561,1,1,1,1,1
155,01562,21,19,18,17,17
156,01564,11,13,13,13,12
157,01566,23,23,23,20,20
158,01568,11,9,8,9,11
159,01569,16,16,13,15,14
160,01570,37,40,42,42,40
161,01571,10,13,9,13,13
162,01581,68,62,62,65,66
163,01583,19,17,16,19,21
164,01585,8,8,8,7,8
165,01588,18,18,22,22,21
166,01590,8,7,8,9,9
167,01601,1,1,1,1,1
168,01602,26,28,30,28,27
169,01603,38,41,44,47,43
170,01604,79,76,87,90,94
171,01605,44,45,43,44,38
172,01606,26,27,25,28,30
173,01607,12,16,15,13,13
174,01608,31,28,26,29,34
175,01609,40,37,39,40,45
176,01610,39,38,40,41,40
177,01611,2,2,2,2,2
178,01612,2,3,4,3,4
179,01613,1,1,2,1,1
180,01701,77,75,74,73,71
181,01702,43,43,40,41,40
182,01719,2,1,2,1,1
183,01720,42,45,41,42,44
184,01721,35,34,35,35,34
185,01730,25,29,27,28,29
186,01740,6,6,5,3,5
187,01741,4,2,2,2,1
188,01742,30,31,31,30,28
189,01746,16,13,13,13,14
190,01747,6,5,7,10,9
191,01748,13,15,16,19,18
192,01749,39,36,31,35,34
193,01752,97,97,102,103,107
194,01754,20,23,23,21,22
195,01756,12,13,14,14,15
196,01757,65,67,60,65,63
197,01760,86,93,82,84,85
198,01770,6,5,7,7,5
199,01772,19,17,17,16,15
200,01773,3,3,3,3,4
201,01775,6,8,6,7,9
202,01776,20,28,30,30,30
203,01778,19,23,20,18,18
204,01801,76,79,89,88,92
205,01803,73,88,94,102,100
206,01810,40,46,42,45,49
207,01821,35,35,38,38,38
208,01824,53,56,54,51,52
209,01826,45,48,44,51,55
210,01827,2,2,2,3,3
211,01830,58,61,59,56,56
212,01832,28,28,28,25,34
213,01833,6,7,11,10,11
214,01834,9,7,8,9,8
215,01835,21,18,19,21,23
216,01840,24,20,22,20,22
217,01841,29,29,24,30,33
218,01843,53,52,53,50,54
219,01844,85,86,82,81,82
220,01845,57,61,59,57,58
221,01850,21,15,17,16,18
222,01851,47,46,49,52,55
223,01852,68,66,63,61,69
224,01853,2,2,2,2,2
225,01854,29,29,31,31,31
226,01860,4,6,5,6,5
227,01862,22,23,20,23,23
228,01863,11,11,11,9,9
229,01864,32,31,31,32,34
230,01867,39,41,38,40,39
231,01876,62,60,60,61,58
232,01879,27,24,22,23,21
233,01880,48,45,48,52,51
234,01885,1,1,1,1,1
235,01886,34,37,41,39,42
236,01887,37,40,49,40,43
237,01890,27,29,25,24,27
238,01901,27,35,34,38,38
239,01902,31,35,32,32,33
240,01904,25,27,24,27,27
241,01905,33,31,32,35,37
242,01906,90,88,80,85,88
243,01907,27,28,26,23,24
244,01908,4,4,4,4,3
245,01913,32,26,29,30,33
246,01915,90,92,93,96,93
247,01921,1,2,3,4,4
248,01922,3,4,4,3,3
249,01923,79,74,79,75,73
250,01929,15,14,16,16,18
251,01930,94,90,88,79,83
252,01936,1,1,1,2,1
253,01938,28,28,28,26,29
254,01940,11,21,20,24,21
255,01944,10,12,12,9,9
256,01945,32,32,31,37,33
257,01949,21,22,22,26,25
258,01950,60,57,58,62,59
259,01951,4,5,5,4,3
260,01952,34,37,32,35,36
261,01960,121,134,126,127,121
262,01966,24,25,25,24,23
263,01969,15,14,16,17,16
264,01970,120,122,120,116,120
265,01982,6,6,5,4,5
266,01983,7,6,6,6,5
267,01984,3,2,3,3,5
268,01985,1,2,3,4,2
269,02019,36,36,37,39,41
270,02020,2,2,3,1,2
271,02021,46,47,50,50,44
272,02025,20,23,20,21,24
273,02026,59,58,58,58,60
274,02030,2,3,2,1,2
275,02032,9,10,12,12,12
276,02035,45,45,44,42,43
277,02038,60,61,51,54,52
278,02043,44,47,46,44,44
279,02045,26,25,25,24,24
280,02047,1,1,1,1,1
281,02048,41,40,43,45,43
282,02050,39,43,45,45,48
283,02052,17,20,18,17,17
284,02053,25,25,29,29,25
285,02054,14,15,16,17,18
286,02056,6,6,7,11,9
287,02060,1,1,1,1,1
288,02061,20,18,18,21,20
289,02062,74,76,66,70,73
290,02066,28,24,28,29,30
291,02067,13,12,12,11,13
292,02072,54,57,60,61,63
293,02081,36,40,40,43,43
294,02090,22,24,22,29,29
295,02093,21,20,19,18,19
296,02108,71,75,86,90,92
297,02109,82,88,87,89,92
298,02110,92,106,109,109,101
299,02111,95,100,112,114,124
300,02112,2,1,1,1,1
301,02113,74,70,69,68,69
302,02114,62,64,65,66,67
303,02115,90,89,88,93,94
304,02116,140,144,150,151,143
305,02118,78,77,81,82,88
306,02119,31,32,31,33,34
307,02120,14,17,17,18,18
308,02121,15,14,16,17,16
309,02122,45,45,42,49,45
310,02124,49,45,47,43,45
311,02125,46,38,41,44,46
312,02126,24,25,27,27,30
313,02127,59,64,63,66,70
314,02128,101,103,104,116,106
315,02129,30,30,31,30,32
316,02130,63,62,67,70,67
317,02131,51,49,43,50,56
318,02132,49,53,53,53,47
319,02134,76,76,80,77,82
320,02135,88,90,93,87,89
321,02136,24,27,26,24,25
322,02138,125,126,125,124,131
323,02139,115,110,113,112,114
324,02140,51,50,51,51,51
325,02141,43,39,38,43,42
326,02142,20,23,24,27,26
327,02143,60,65,64,69,75
328,02144,67,66,70,69,76
329,02145,37,44,49,59,58
330,02148,80,83,86,86,94
331,02149,71,70,65,66,71
332,02150,56,64,66,64,71
333,02151,76,77,90,86,94
334,02152,22,23,27,28,30
335,02153,2,2,2,2,2
336,02155,89,96,98,100,101
337,02169,117,118,129,125,122
338,02170,34,35,37,40,37
339,02171,42,41,37,36,41
340,02176,36,39,41,39,40
341,02180,46,45,44,46,46
342,02184,101,105,103,107,98
343,02186,18,20,20,21,19
344,02188,25,26,27,27,23
345,02189,26,26,27,22,24
346,02190,26,24,27,27,28
347,02191,13,13,14,12,14
348,02199,22,28,29,25,24
349,02210,41,42,47,53,52
350,02215,106,105,108,106,108
351,02301,97,98,105,96,99
352,02302,28,27,24,26,26
353,02322,9,9,9,9,8
354,02324,40,40,43,38,45
355,02327,1,1,1,1,1
356,02330,12,14,17,18,17
